date,HMVA,MVO,EW,SPY-100
2000-08-14,0.01011613678893539,0.016296891546364357,0.013437156735987145,0.013898305702608775
2000-08-15,-0.012587055355537275,-0.010388090339796886,-0.00636089355084009,-0.004249914515603367
2000-08-16,0.0043967721755417705,0.0004338270675679395,-0.00221429943134439,-0.003165925474047023
2000-08-17,0.0064091066129632265,0.014993764394158565,0.010522664152974313,0.010770800232413485
2000-08-18,-0.010109120866302536,-0.019397393525641786,-0.0030338097782421883,-0.0035598258440458145
2000-08-21,0.004967676508890729,0.006406248447328767,0.0053060570131671925,0.006944671601167693
2000-08-22,-0.009077610358956245,-0.015023900480470479,-0.001848537097134444,-0.0023280878045718804
2000-08-23,0.01177878292250618,0.013061741047113114,0.003539352562419258,0.006931443802784467
2000-08-24,-0.017546279589445005,-0.016023910546264952,0.0027016533397837025,0.002953109337973763
2000-08-25,-0.008397645755089648,0.003702880735420381,-0.0016891629393631581,-0.0013855157534126336
2000-08-28,0.002889789181447182,-0.007612688314549067,0.004294916356605831,0.0058887461025710994
2000-08-29,-0.007309546387659677,-0.007960566093461907,-0.005794219413508679,-0.0031977430873446656
2000-08-30,-0.011474544339160085,0.0018251104393288936,-0.00340502412805701,-0.006279881856016956
2000-08-31,-0.005697273473956624,-0.021195022789813105,0.00875058,0.010020358139787267
2000-09-01,0.009055729195703112,0.009676007277630749,0.0012018750284535148,0.0022131899038793147
2000-09-05,-0.002771223433878822,0.008929927008994204,-0.00865630928594924,-0.012000060579329225
2000-09-06,-0.008087637174344462,-0.006140226761471357,-0.010101921119828295,-0.015424142264963194
2000-09-07,0.003341357377878651,0.020791220718794995,0.0086284187301849,0.008843329612835507
2000-09-08,0.0032370885715983576,-0.013421403840546409,-0.007239246667691125,-0.008052955172287483
2000-09-11,0.0011678933016203974,-0.005070503259016417,-0.0034632329206984403,-0.0061888949126348404
2000-09-12,0.004538999130758336,-0.0030327270161638158,-0.004007163606355858,-0.006714003593988925
2000-09-13,-0.0009195577937817255,0.007670172487627618,0.004909790975537218,0.0031187976802341416
2000-09-14,-0.016328846534658156,2.6299174055512746e-05,-0.003147392084311515,-0.0026734775484134415
2000-09-15,0.004200696696455595,-0.004796747199495443,-0.008997998204470416,-0.011692251065501086
2000-09-18,0.009715764774006342,-0.0024483972977789683,-0.015127801423310466,-0.012600384445862544
2000-09-19,-0.006542085449128382,-0.00018513158167628721,0.010834032415507905,0.013518230477940346
2000-09-20,-0.017214423334387483,-0.009908850431642953,-0.00613209325378498,-0.004559047625819476
2000-09-21,0.010099305724006346,0.011343201665429976,-0.0020702360226355493,-0.0019249931009625153
2000-09-22,0.03223927732546861,0.03750529143159015,0.014136135351841118,-0.00022506427382229565
2000-09-25,0.0026422337901605736,-0.007404624942624919,-0.007188276422653034,-0.009209691586923347
2000-09-26,0.00039843133994929244,-0.020560215923216604,-0.006284959978653835,-0.009830373081822457
2000-09-27,0.006399780985063083,-0.01023144728316258,-0.0022388999868321853,-0.00138519559096751
2000-09-28,0.012142580838221891,0.011065398256910906,0.024474087831142025,0.021435823215712534
2000-09-29,-0.0006296123654187933,-0.002245211103268133,-0.011177127967504107,-0.015917505940483453
2000-10-02,0.011676786425080231,-0.031005677782333298,-0.00239309,-3.3988356519853665e-05
2000-10-03,0.0018854381741236852,-0.06668380140534155,-0.007825083011293496,-0.008972407228213176
2000-10-04,-0.005016653146640029,0.0023143628039417863,0.008127700426630222,0.007232452202943203
2000-10-05,0.009987451980789935,0.0005353748383336784,0.0006231595291844072,0.004261830881955307
2000-10-06,-0.006845540209942496,-0.04535818224416372,-0.022418778646140107,-0.019404515665602688
2000-10-09,0.002532324612651032,-0.006287581842159802,-0.004638855593104751,-0.007973428750240014
