Price,Close,Volume
Ticker,SPY,SPY
Date,,
2011-05-23,101.18805694580078,168700000
2011-05-24,101.10376739501953,147199600
2011-05-25,101.44090270996094,151050100
2011-05-26,101.90831756591797,164850000
2011-05-27,102.2990493774414,120921900
2011-05-31,103.36412048339844,164731200
2011-06-01,101.04248046875,233094300
2011-06-02,100.9351806640625,200466800
2011-06-03,99.93141174316406,234690200
2011-06-06,98.87401580810547,179951200
2011-06-07,98.8127212524414,161660500
2011-06-08,98.39897918701172,198696400
2011-06-09,99.14985656738281,160964400
2011-06-10,97.77066040039062,238629400
2011-06-13,97.8472900390625,207599800
2011-06-14,99.08860778808594,160570400
2011-06-15,97.32625579833984,300958000
2011-06-16,97.54081726074219,308032800
2011-06-17,97.8318862915039,233284900
2011-06-20,98.3323974609375,159479000
2011-06-21,99.67993927001953,193157300
2011-06-22,99.07931518554688,176703000
2011-06-23,98.79439544677734,334286500
2011-06-24,97.64705657958984,226129300
2011-06-27,98.51720428466797,168904700
2011-06-28,99.80314636230469,165556300
2011-06-29,100.65784454345703,244295500
2011-06-30,101.62039184570312,223322700
2011-07-01,103.12197875976562,202385700
2011-07-05,103.03724670410156,165936000
2011-07-06,103.1604995727539,143331600
2011-07-07,104.23079681396484,170464200
2011-07-08,103.4915542602539,194100500
2011-07-11,101.62039184570312,195918600
2011-07-12,101.18148803710938,214675700
2011-07-13,101.52030944824219,204062600
2011-07-14,100.81956481933594,226111800
2011-07-15,101.40480041503906,220012800
2011-07-18,100.57315063476562,196872100
2011-07-19,102.20560455322266,166554900
2011-07-20,102.14401245117188,137145400
2011-07-21,103.56088256835938,245246300
2011-07-22,103.6301498413086,126019400
2011-07-25,103.05268096923828,136653800
2011-07-26,102.66764831542969,131278200
2011-07-27,100.56546783447266,249020100
2011-07-28,100.2728500366211,207939900
2011-07-29,99.5875473022461,307038400
2011-08-01,99.16400909423828,325790900
2011-08-02,96.6306381225586,346653800
2011-08-03,97.15428161621094,370830800
2011-08-04,92.6033935546875,520721800
2011-08-05,92.46478271484375,655619200
2011-08-08,86.44319152832031,702263900
2011-08-09,90.46273040771484,717828700
2011-08-10,86.46629333496094,662607400
2011-08-11,90.34724426269531,487979700
2011-08-12,90.95552825927734,313731600
2011-08-15,92.88059997558594,258810600
2011-08-16,92.08747863769531,294095200
2011-08-17,92.14908599853516,238201100
2011-08-18,88.17572784423828,512956300
2011-08-19,86.73576354980469,428281300
2011-08-22,86.80512237548828,275090600
2011-08-23,89.66189575195312,331136600
2011-08-24,90.92475891113281,246869700
2011-08-25,89.53868103027344,312365400
2011-08-26,90.84004211425781,314495900
2011-08-29,93.45039367675781,190977200
2011-08-30,93.69680786132812,241315700
2011-08-31,94.1126708984375,301828400
2011-09-01,93.12700653076172,254585900
2011-09-02,90.74761962890625,255517200
2011-09-06,90.08538055419922,285130500
2011-09-07,92.62649536132812,209803200
2011-09-08,91.66397857666016,250568200
2011-09-09,89.261474609375,380195100
2011-09-12,89.83897399902344,305793500
2011-09-13,90.66290283203125,272514700
2011-09-14,91.91804504394531,319389500
2011-09-15,93.50433349609375,326777200
2011-09-16,94.05773162841797,284528300
2011-09-19,93.12117767333984,241517000
2011-09-20,93.0128173828125,218932200
2011-09-21,90.2728271484375,316251300
2011-09-22,87.35482788085938,513911300
2011-09-23,87.88114929199219,307242500
2011-09-26,89.97096252441406,260673700
2011-09-27,90.97718811035156,311753900
2011-09-28,89.1195297241211,286696800
2011-09-29,89.82392883300781,298108900
2011-09-30,87.57926940917969,288392300
2011-10-03,85.08696746826172,365136800
2011-10-04,86.95230865478516,459177500
2011-10-05,88.56226348876953,284108000
2011-10-06,90.16447448730469,257800800
2011-10-07,89.56073760986328,312657900
2011-10-10,92.55614471435547,230666300
2011-10-11,92.64905548095703,209088000
2011-10-12,93.46175384521484,281544900
2011-10-13,93.2760009765625,212538800
2011-10-14,94.87042999267578,211397600
2011-10-17,93.05926513671875,202311600
2011-10-18,94.8781967163086,318857900
2011-10-19,93.75587463378906,226601300
2011-10-20,94.1661148071289,262075600
2011-10-21,95.95407104492188,278999400
2011-10-24,97.13056182861328,203215600
2011-10-25,95.2419662475586,268596800
2011-10-26,96.20950317382812,289053800
2011-10-27,99.56099700927734,393220200
2011-10-28,99.53771209716797,225906500
2011-10-31,97.13829803466797,228146700
2011-11-01,94.42926025390625,416565800
2011-11-02,95.96952819824219,244717600
2011-11-03,97.71881103515625,291174800
2011-11-04,97.1228256225586,249401600
2011-11-07,97.7265396118164,196617200
2011-11-08,98.98043060302734,224426300
2011-11-09,95.3271255493164,337982000
2011-11-10,96.2249755859375,231866500
2011-11-11,98.03619384765625,189924400
2011-11-14,97.10735321044922,159258300
2011-11-15,97.58724212646484,184709400
2011-11-16,96.0391845703125,235782500
2011-11-17,94.51439666748047,331219600
2011-11-18,94.41378021240234,215580400
2011-11-21,92.6180648803711,229611600
2011-11-22,92.25430297851562,216494900
2011-11-23,90.2186508178711,224329100
2011-11-25,90.04833221435547,99557000
2011-11-28,92.65677642822266,210686000
2011-11-29,92.91996002197266,199241500
2011-11-30,96.74357604980469,324439500
2011-12-01,96.72807312011719,176954800
2011-12-02,96.64293670654297,221109700
2011-12-05,97.69561004638672,225263900
2011-12-06,97.7265396118164,178842100
2011-12-07,98.09034729003906,237802500
2011-12-08,95.93858337402344,240862800
2011-12-09,97.56401062011719,209111400
2011-12-12,96.13983154296875,215826100
2011-12-13,95.2419662475586,245159800
2011-12-14,94.22801208496094,238618800
2011-12-15,94.56855773925781,199109200
2011-12-16,94.70878601074219,220481400
2011-12-19,93.69621276855469,183903000
2011-12-20,96.53145599365234,225418100
2011-12-21,96.71842193603516,194230900
2011-12-22,97.57518005371094,119465400
2011-12-23,98.44759368896484,92187200
2011-12-27,98.52550506591797,86075700
2011-12-28,97.23249053955078,119107100
2011-12-29,98.23728942871094,123507200
2011-12-30,97.75436401367188,95599000
2012-01-03,99.31219482421875,193697900
2012-01-04,99.46796417236328,127186500
2012-01-05,99.73280334472656,173895000
2012-01-06,99.47575378417969,148050000
2012-01-09,99.71724700927734,99530200
2012-01-10,100.58187866210938,115282000
2012-01-11,100.63634490966797,111540700
2012-01-12,100.8778305053711,118983700
2012-01-13,100.35596466064453,179836200
2012-01-17,100.74541473388672,132209200
2012-01-18,101.8592758178711,163395200
2012-01-19,102.39674377441406,126328900
2012-01-20,102.77838897705078,138230200
2012-01-23,102.5135498046875,129295800
2012-01-24,102.39674377441406,103083300
2012-01-25,103.25352478027344,198613200
2012-01-26,102.723876953125,184880500
2012-01-27,102.67713928222656,135259100
2012-01-30,102.32662200927734,147311800
2012-01-31,102.28770446777344,157212000
2012-02-01,103.18341827392578,166234500
2012-02-02,103.34696960449219,113090400
2012-02-03,104.7957992553711,160598500
2012-02-06,104.72570037841797,107694500
2012-02-07,104.9905014038086,135528100
2012-02-08,105.30209350585938,139361400
2012-02-09,105.43456268310547,148602900
2012-02-10,104.65559387207031,167907500
2012-02-13,105.43456268310547,115841900
2012-02-14,105.30209350585938,165329500
2012-02-15,104.81135559082031,195195100
2012-02-16,105.97196960449219,186567800
2012-02-17,106.25239562988281,129869400
2012-02-21,106.29907989501953,134042300
2012-02-22,105.95635986328125,124455300
2012-02-23,106.42375183105469,137704300
2012-02-24,106.65742492675781,105539100
2012-02-27,106.83656311035156,145728900
2012-02-28,107.14813995361328,129355900
2012-02-29,106.72748565673828,185934700
2012-03-01,107.28054809570312,145023500
2012-03-02,106.95342254638672,120638300
2012-03-05,106.51720428466797,140765000
2012-03-06,104.95938110351562,202129900
2012-03-07,105.6915283203125,143692200
2012-03-08,106.74311065673828,116968900
2012-03-09,107.15594482421875,122836800
2012-03-12,107.1637191772461,104003500
2012-03-13,109.0954360961914,184090500
2012-03-14,108.97858428955078,145163600
2012-03-15,109.60948181152344,165118500
2012-03-16,109.76128387451172,152893500
2012-03-19,110.19156646728516,125291100
2012-03-20,109.87081909179688,121729700
2012-03-21,109.69087982177734,122388400
2012-03-22,108.90072631835938,135216700
2012-03-23,109.25274658203125,120521000
2012-03-26,110.7861099243164,120164000
2012-03-27,110.44194030761719,119868500
2012-03-28,109.89427947998047,148562100
2012-03-29,109.70655822753906,164963700
2012-03-30,110.16029357910156,135486800
2012-04-02,110.966064453125,151741100
2012-04-03,110.5123291015625,155806700
2012-04-04,109.41706085205078,146896000
2012-04-05,109.36227416992188,137439400
2012-04-09,108.1340560913086,127555900
2012-04-10,106.31900024414062,235360300
2012-04-11,107.1795883178711,154133000
2012-04-12,108.57994842529297,154321500
2012-04-13,107.28912353515625,169246700
2012-04-16,107.21874237060547,147825300
2012-04-17,108.80683135986328,147877600
2012-04-18,108.43915557861328,123884200
2012-04-19,107.7428970336914,198666700
2012-04-20,107.92281341552734,143199600
2012-04-23,107.01528930664062,171844900
2012-04-24,107.42215728759766,137484200
2012-04-25,108.89290618896484,150252200
2012-04-26,109.65178680419922,136291600
2012-04-27,109.8316879272461,130725000
2012-04-30,109.42488098144531,115092200
2012-05-01,110.10553741455078,138832200
2012-05-02,109.77696228027344,121081000
2012-05-03,108.93981170654297,143759700
2012-05-04,107.1795883178711,193927300
2012-05-07,107.25782012939453,127765900
2012-05-08,106.82756042480469,213377700
2012-05-09,106.1938247680664,220752500
2012-05-10,106.41290283203125,150600000
2012-05-11,106.09215545654297,153032400
2012-05-14,104.91866302490234,163910000
2012-05-15,104.31623077392578,207629300
2012-05-16,103.9172592163086,207265500
2012-05-17,102.3760757446289,247992900
2012-05-18,101.49984741210938,319615900
2012-05-21,103.24446105957031,177861100
2012-05-22,103.42434692382812,197531200
2012-05-23,103.47915649414062,204958400
2012-05-24,103.68253326416016,167357600
2012-05-25,103.3461685180664,135465600
2012-05-29,104.59786987304688,152883500
2012-05-30,103.08013916015625,162370400
2012-05-31,102.85330200195312,196186000
2012-06-01,100.2637939453125,253240900
2012-06-04,100.21685028076172,202545800
2012-06-05,100.97569274902344,164149400
2012-06-06,103.24446105957031,184202800
2012-06-07,103.3070297241211,184772700
2012-06-08,104.12845611572266,143915400
2012-06-11,102.80636596679688,169756100
2012-06-12,103.98764038085938,181931800
2012-06-13,103.32270050048828,172223900
