lookback,cost_bps,linkage,strategy,ann_return,ann_vol,sharpe,sortino,omega,max_dd,calmar,var95,cvar95,hit_rate,turnover,sharpe_minus_base,sortino_minus_base
252,10.0,single,EW,0.07864615071754977,0.18935317986420436,0.4153410614701653,0.5232882739143947,1.0991933413729107,-0.5531640609844106,0.14217509101656226,-0.01805031251124951,-0.02873916711925737,0.5424879907238694,0.05679442508710802,0.0,0.0
252,10.0,single,SPY-K,0.08427111532665887,0.19042186851839837,0.44254956629898146,0.5635075355603913,1.103810092674428,-0.5237249234168859,0.16090720826661695,-0.018332226946508927,-0.028781730692205233,0.5408315388437965,0.06685775501920202,0.02720850482881615,0.04021926164599665
504,0.0,single,HMVA,0.13732657380202018,0.17081882733507278,0.8039311353697841,1.0478377462662956,1.1737579316203237,-0.34794756678818306,0.39467605728543365,-0.015045462664129148,-0.024592997081622905,0.5420916162489197,1.007112461048766,0.32674682890565665,0.4517669685845571
504,0.0,single,EW,0.08982595160272866,0.1882416298816008,0.47718430646412746,0.5960707776817384,1.1119736902421578,-0.5520665309811985,0.16270856239569398,-0.017778377097755933,-0.028631714560749186,0.5452031114952464,0.05687272727272727,0.0,0.0
504,0.0,single,SPY-K,0.09509053230523845,0.18906384755663003,0.5029546025543361,0.6351845904570663,1.1162190976871975,-0.5232526005031034,0.1817296888994142,-0.017949922111278247,-0.02865709568665508,0.5434745030250648,0.06562876870731324,0.025770296090208644,0.03911381277532788
504,2.0,single,HMVA,0.13458500582859245,0.17082107277825934,0.7878712130750727,1.0268928331330036,1.1706056106808485,-0.3490254750240064,0.38560224241320934,-0.015045462664129148,-0.02460615903323681,0.5414001728608471,1.007112461048766,0.3120536164972358,0.43254142764458103
504,2.0,single,EW,0.08956880041899495,0.18824188315688486,0.4758175965778369,0.5943514054884226,1.1117061948561855,-0.5522862375655275,0.16217822267998813,-0.017778377097755933,-0.02863312916298791,0.5452031114952464,0.05687272727272727,0.0,0.0
504,2.0,single,SPY-K,0.09499716611080045,0.18906392999452348,0.502460549262634,0.6345551814446156,1.1161232425801955,-0.5233471000857016,0.18151847233937862,-0.017949922111278247,-0.02865764063989098,0.5434745030250648,0.06562876870731324,0.02664295268479705,0.040203775956193066
504,5.0,single,HMVA,0.130483784505405,0.17083068034043328,0.7638193809529732,0.9956055523951889,1.1658785517399808,-0.35063964811157455,0.37213071940993014,-0.015065768877052334,-0.0246262239267104,0.54019014693172,1.007112461048766,0.2900514196308112,0.4038016156684572
504,5.0,single,EW,0.08918317675948217,0.1882423127781696,0.473767961322162,0.5918039367267317,1.111305023729409,-0.552615609328467,0.16138374532680444,-0.017778377097755933,-0.028635251066345988,0.5450302506482282,0.05687272727272727,0.0,0.0
504,5.0,single,SPY-K,0.0948571303054726,0.1890640603118221,0.5017195237901131,0.6336111447100705,1.1159794745752432,-0.5234888166425338,0.18120182760321724,-0.017949922111278247,-0.02865845806974482,0.5434745030250648,0.06562876870731324,0.027951562467951108,0.04180720798333881
504,10.0,single,HMVA,0.12367800207334434,0.1708633276109625,0.7238417032058857,0.9432377319070917,1.1580173301916794,-0.35332277738400564,0.3500425389754197,-0.015106086179611771,-0.024663838373856075,0.5396715643906655,1.007112461048766,0.25348865077712407,0.3556979116903701
504,10.0,single,EW,0.08854074554838398,0.18824316136822375,0.47035305242876163,0.5875398202167216,1.1106364150981594,-0.55316406098441,0.16006236086779932,-0.017786345482013754,-0.028638818445311735,0.54485738980121,0.05687272727272727,0.0,0.0
504,10.0,single,SPY-K,0.09462377325599358,0.1890642952685012,0.5004846267858925,0.6320379553363813,1.115739900307158,-0.5237249234168863,0.18067456602723647,-0.017949922111278247,-0.028659820452834557,0.5434745030250648,0.06562876870731324,0.03013157435713082,0.04449813511965972
