date,HMVA-mv,GMV-EK,HRP-E
2000-08-14,0.007770092737300498,0.009643785713992062,0.008797121144610696
2000-08-15,-0.01119737527330663,-0.009500156890022766,-0.009867514816962282
2000-08-16,-0.0011598620137322855,-0.003587504488688493,-0.0035790225649533452
2000-08-17,0.0030078657071817725,0.004678074864165981,0.002998542064044901
2000-08-18,-0.008886228820062476,-0.006457853387312451,-0.002123835153562783
2000-08-21,0.00545628136459027,0.005731205291527239,0.005529494836322127
2000-08-22,-0.005520388083568776,-0.005024446555557742,-0.0019505240341114052
2000-08-23,0.004652602384780719,0.002539933663839684,0.002995819200252498
2000-08-24,-0.005312220508195497,-0.0001614849180909252,0.0012559971204722667
2000-08-25,0.001807839449252927,0.0017225995711731225,0.001401756401042217
2000-08-28,0.0009156584901217173,0.003907838000063425,0.0031032675719001113
2000-08-29,-0.005402490547099262,-0.006681073309553191,-0.0078083612634561785
2000-08-30,-0.006099448557128216,-0.005727045504946411,-0.006535109014354546
2000-08-31,-0.0017753514270992582,-0.001054037969264066,0.0010902068911363477
2000-09-01,0.006775888099548662,0.003219918058186108,0.00412049792127694
2000-09-05,-0.0032985637797109495,-0.004825116326209045,-0.0010687354870479871
2000-09-06,-0.002520118727668614,-0.0027813079045805105,0.0010251336477829888
2000-09-07,0.0017108149728928105,0.0002417598708651031,0.0010583352028289599
2000-09-08,0.00010732123126312822,-0.005969899201013704,0.0014812449828916425
2000-09-11,-0.00118733682450237,-0.0005372801893379776,0.0050890054106013044
2000-09-12,0.0011603450670725662,-0.003134849767673236,-0.0007559566050351918
2000-09-13,-0.004279675954029314,0.00033305723276547334,0.001349036280696008
2000-09-14,-0.01665553396972356,-0.009729913882631693,-0.010709843253272356
2000-09-15,-0.0006760479445686825,-0.002466203707697078,-0.004692090589226026
2000-09-18,-0.0014366250858324756,-0.00877830417206718,-0.00898704197802577
2000-09-19,-0.0048809028923546645,-0.0027579143753436943,-0.004373576836276359
2000-09-20,-0.015353376959725365,-0.010557627026279564,-0.00955826507671733
2000-09-21,0.012125131296673326,0.0043389554151121446,0.008142211090959701
2000-09-22,0.024269203672655195,0.013756179544342417,0.017402329423025616
2000-09-25,-0.0010832100113712666,-0.004630037160362492,-0.0014383559027426652
2000-09-26,-0.0016546299570061645,-0.0034781722079812952,-0.0017021628414937992
2000-09-27,0.0017576015069374969,-0.0006774020452493842,0.0018700768770935927
2000-09-28,0.023885523466632985,0.018361441495234273,0.01961551464832658
2000-09-29,-0.000798280891100052,-0.0029170475389893313,-0.002093192481266466
2000-10-02,0.0072964691508550115,-2.095302886678008e-05,0.0005992453044844469
2000-10-03,-0.0011926675117234463,-0.002233663942031794,-0.00019033298241347607
2000-10-04,9.198007408159246e-05,0.00647372459136181,0.00181970137258921
2000-10-05,0.004382324888040394,-0.003371494892354876,0.0051584255081748645
2000-10-06,-0.008797201571044667,-0.012710519810100716,-0.01451192134737641
2000-10-09,-0.0006319062698376972,-0.0029090059763724656,-0.003704948560149522
2000-10-10,0.00552908868008296,-0.0009941824600320714,-0.0010109771142198666
2000-10-11,-0.002977760873231103,-0.010883751827363806,-0.011944022323689423
2000-10-12,-0.01131497795381822,-0.019108867316673578,-0.023811189786103294
2000-10-13,-0.000390380173817866,0.0218579993299897,0.01444717481569312
2000-10-16,0.0033520177458998546,-0.0015557734742622088,0.003424313892929708
2000-10-17,-0.0017550516860839684,-0.013305792694547078,-0.013198549316489547
2000-10-18,-0.004821680062206388,0.003960004856600447,0.001856123965359961
2000-10-19,0.0038570900499900135,0.0161518735899467,0.017199267460028176
2000-10-20,0.007124877843743005,0.009353237598871258,0.00759179485243631
2000-10-23,0.005287056334432944,0.004620845956644039,0.004136571244559277
2000-10-24,0.0029980752476708858,0.0018193904780626846,0.011067160676436497
2000-10-25,-0.007482698381621053,-0.013000386004312836,-0.012448415808872081
2000-10-26,-0.0014982861984540131,-0.0008898602762343189,-0.00272291422492767
2000-10-27,0.012060212812764277,0.011094569365603973,0.011631183380349654
2000-10-30,0.020477301750616402,0.019657920552744724,0.021728495049763503
2000-10-31,0.00256321163204529,0.007599903830299937,0.006305252734350954
2000-11-01,0.008643658352053192,-0.0009159597146380001,0.0015901726572748172
2000-11-02,-0.012999178041032814,-0.004879428215252867,-0.0057724715421726405
