n,rep,score_bf,score_h,approx_ratio,exact_match
14,28,-0.6207749320730418,-0.6207749320730418,1.0,1
14,29,-0.909298690565793,-0.8485047298522773,0.9331419242716738,0
14,30,-0.6882553338671157,-0.6882553338671157,1.0,1
14,31,-0.8643520040452052,-0.8643520040452053,1.0,1
14,32,-0.8049813856103553,-0.8049813856103553,1.0,1
14,33,-0.6894036181061421,-0.6894036181061421,1.0,1
14,34,-0.783129916151675,-0.7831299161516749,0.9999999999999999,1
14,35,-0.8678783537566993,-0.8678783537566992,0.9999999999999999,1
14,36,-0.8712483959574109,-0.8114334378224959,0.9313456892288626,0
14,37,-0.8540643578732477,-0.8540643578732479,1.0,1
14,38,-0.7274154256217118,-0.7081789850593786,0.9735550829900368,0
14,39,-0.78817132016982,-0.7881713201698202,1.0,1
14,40,-0.632496283359737,-0.585107502764402,0.9250765864684423,0
14,41,-0.4922797538598022,-0.49227975385980216,0.9999999999999999,1
14,42,-0.8664107920731086,-0.8664107920731086,1.0,1
14,43,-0.7315856882163752,-0.7315856882163752,1.0,1
14,44,-0.8823994742231873,-0.8514252471689949,0.9648977272097082,0
14,45,-0.7131863764931459,-0.7131863764931459,1.0,1
14,46,-0.619980879321965,-0.5625481993602158,0.9073637883404408,0
14,47,-0.651063423626058,-0.6510634236260578,0.9999999999999998,1
14,48,-0.8138147843838953,-0.8138147843838954,1.0,1
14,49,-0.7878039025774579,-0.7845445898695422,0.9958627867959879,0
14,50,-0.6849048949731028,-0.6849048949731029,1.0,1
14,51,-0.9002448206531801,-0.9002448206531801,1.0,1
14,52,-0.8416642809103355,-0.8416642809103357,1.0,1
14,53,-0.7126826210057806,-0.7126826210057806,1.0,1
14,54,-0.6772728209280199,-0.6714607292015264,0.9914183892415326,0
14,55,-0.8215694319716279,-0.8215694319716279,1.0,1
14,56,-0.8705552400670653,-0.8705552400670653,1.0,1
14,57,-0.8550930814513034,-0.8550930814513032,0.9999999999999999,1
14,58,-0.8829418361634241,-0.828334341533357,0.9381527838035758,0
14,59,-0.8381792308034166,-0.8381792308034166,1.0,1
14,60,-0.8069653797265249,-0.7739672297438445,0.9591083449033919,0
14,61,-0.6603959534111097,-0.6246966101497524,0.9459425166417794,0
14,62,-0.8188217328113373,-0.8188217328113372,0.9999999999999999,1
14,63,-0.7490566091798224,-0.7490566091798224,1.0,1
14,64,-0.745956759183013,-0.745956759183013,1.0,1
14,65,-0.8309429750608602,-0.8309429750608601,0.9999999999999999,1
14,66,-0.729096124246144,-0.729096124246144,1.0,1
14,67,-0.9004714876445017,-0.8836375591599804,0.981305428638772,0
14,68,-0.5009874676383609,-0.5009874676383608,0.9999999999999998,1
14,69,-0.8775510242339964,-0.8775510242339966,1.0,1
14,70,-0.8822200208078702,-0.8254551217513963,0.9356567548710889,0
14,71,-0.7668678928216432,-0.7380753415895934,0.9624543529575748,0
14,72,-0.8415326016745945,-0.7692276245924237,0.9140794106630109,0
14,73,-0.7522410594201382,-0.7522410594201384,1.0,1
14,74,-0.8858533173676444,-0.8858533173676443,0.9999999999999999,1
14,75,-0.867098367073552,-0.867098367073552,1.0,1
14,76,-0.6201744394163498,-0.6201744394163498,1.0,1
14,77,-0.8622834230498881,-0.8622834230498884,1.0,1
14,78,-0.8060827460260054,-0.8060827460260054,1.0,1
14,79,-0.49136348695720483,-0.4913634869572048,0.9999999999999999,1
14,80,-0.9054681552826426,-0.9054681552826425,0.9999999999999999,1
14,81,-0.7366748822900681,-0.7366748822900681,1.0,1
14,82,-0.7469052224375377,-0.7469052224375375,0.9999999999999999,1
14,83,-0.5404515638619369,-0.5404515638619368,0.9999999999999998,1
14,84,-0.7704133556170244,-0.7447882255788167,0.9667384659788453,0
14,85,-0.8586066428044258,-0.858606642804426,1.0,1
14,86,-0.8308943238793014,-0.8072133405921206,0.9714994041882264,0
14,87,-0.8397323999698991,-0.8397323999698992,1.0,1
14,88,-0.8462674472591994,-0.8462674472591992,0.9999999999999998,1
14,89,-0.9037274180476141,-0.9037274180476144,1.0,1
14,90,-0.7764639936410705,-0.7764639936410702,0.9999999999999996,1
14,91,-0.8337216697194363,-0.7950513935977472,0.9536172831699309,0
14,92,-0.8505168656312608,-0.8505168656312612,1.0,1
14,93,-0.5140383873915031,-0.3847054525001063,0.7483982946337937,0
14,94,-0.6184105159281225,-0.582316153704679,0.9416336538694329,0
14,95,-0.868143631432558,-0.8681436314325581,1.0,1
14,96,-0.8533401848029847,-0.8533401848029847,1.0,1
14,97,-0.783206034459297,-0.7832060344592968,0.9999999999999997,1
14,98,-0.6653028093617704,-0.4880889051507586,0.7336342163036793,0
14,99,-0.7989917015135649,-0.798991701513565,1.0,1
16,0,-0.7020344207714491,-0.7020344207714493,1.0,1
16,1,-0.67112346326526,-0.6711234632652601,1.0,1
16,2,-0.6946845485665999,-0.6946845485665999,1.0,1
16,3,-0.8015978613167695,-0.8015978613167697,1.0,1
16,4,-0.7883536511575717,-0.7883536511575714,0.9999999999999996,1
16,5,-0.8198150870308953,-0.8198150870308956,1.0,1
16,6,-0.8761382989510963,-0.8604312084524789,0.9820723617293962,0
16,7,-0.8695581188457386,-0.8695581188457385,0.9999999999999999,1
16,8,-0.459775531315754,-0.2426067834271663,0.5276635377548059,0
16,9,-0.8448545303763452,-0.8448545303763451,0.9999999999999999,1
16,10,-0.670897040681007,-0.6708970406810066,0.9999999999999996,1
16,11,-0.8696147658006984,-0.8696147658006984,1.0,1
16,12,-0.5864422279852091,-0.5864422279852091,1.0,1
16,13,-0.6869037418454932,-0.5815789536497881,0.8466673250130641,0
16,14,-0.7749296581782614,-0.7749296581782618,1.0,1
16,15,-0.7927664471909386,-0.7587253504501502,0.9570603714859421,0
16,16,-0.7252800558301965,-0.7252800558301966,1.0,1
16,17,-0.8854634421091867,-0.8701047427457239,0.9826546205827785,0
16,18,-0.8425328445736,-0.8375508933758053,0.9940869353285379,0
16,19,-0.7965510478059137,-0.7965510478059137,1.0,1
16,20,-0.6427112129645697,-0.6427112129645698,1.0,1
16,21,-0.8956711098446108,-0.8956711098446106,0.9999999999999998,1
16,22,-0.8188067631742455,-0.8188067631742454,0.9999999999999999,1
16,23,-0.5595772914728239,-0.5595772914728239,1.0,1
16,24,-0.7245243429018962,-0.7245243429018962,1.0,1
16,25,-0.7867080230951768,-0.7867080230951768,1.0,1
16,26,-0.7245020535231808,-0.7245020535231809,1.0,1
16,27,-0.8418926036727112,-0.8260889710718766,0.9812284458470212,0
16,28,-0.7904918853035364,-0.7904918853035362,0.9999999999999997,1
16,29,-0.8864787148134833,-0.8864787148134835,1.0,1
16,30,-0.6753430379009623,-0.6753430379009623,1.0,1
16,31,-0.8613884338718184,-0.8613884338718183,0.9999999999999999,1
16,32,-0.613070022321638,-0.613070022321638,1.0,1
16,33,-0.7101346119062961,-0.7101346119062959,0.9999999999999997,1
16,34,-0.7518415457743245,-0.7518415457743244,0.9999999999999999,1
16,35,-0.6101341357114506,-0.5791199403218541,0.9491682343695912,0
16,36,-0.7971050931640046,-0.7935055176167962,0.995484189502641,0
16,37,-0.8806029932321354,-0.8806029932321358,1.0,1
16,38,-0.8411943616628234,-0.8411943616628235,1.0,1
16,39,-0.8372393029763785,-0.8372393029763786,1.0,1
16,40,-0.7864292175649419,-0.7864292175649418,0.9999999999999999,1
16,41,-0.8779503411277496,-0.8779503411277497,1.0,1
16,42,-0.6688499276916673,-0.631619724289774,0.9443369852331717,0
16,43,-0.7759910308203715,-0.7725657092930084,0.9955858748473654,0
16,44,-0.7244059025964815,-0.7244059025964815,1.0,1
16,45,-0.8417797010305302,-0.84177970103053,0.9999999999999998,1
16,46,-0.6987678628736071,-0.698767862873607,0.9999999999999999,1
16,47,-0.837573005876237,-0.837573005876237,1.0,1
16,48,-0.6640253940780001,-0.6640253940780001,1.0,1
16,49,-0.8436882238328924,-0.8436882238328927,1.0,1
