period,regime,strategy,start,end,AnnReturn,AnnVol,Sharpe,MaxDD,Calmar,NDays
Rate-hike cycle (2022),crisis,HRP,2022-01-01,2022-12-31,-0.06466253245627385,0.17753394976772238,-0.3642262932857375,-0.18243192715587775,-0.3544474559051463,251.0
Rate-hike cycle (2022),crisis,MVO,2022-01-01,2022-12-31,0.03233592134487284,0.3124588139455762,0.10348858762071947,-0.282814419377054,0.11433618348066592,251.0
Rate-hike cycle (2022),crisis,EW,2022-01-01,2022-12-31,-0.1320259369025405,0.2242496944679749,-0.588745225342526,-0.2324605839467786,-0.5679497773814746,251.0
Rate-hike cycle (2022),crisis,SPY-K,2022-01-01,2022-12-31,-0.21319536770344194,0.2540028589316631,-0.8393423940192737,-0.26475473319656884,-0.8052561143265895,251.0
Pre-GFC bull (2003–2007),calm,HMVA,2003-01-01,2007-09-30,0.08313516040133151,0.1528105326370286,0.5440407736736496,-0.26344525719687106,0.3155690153085774,1194.0
Pre-GFC bull (2003–2007),calm,HRP,2003-01-01,2007-09-30,0.1304360309376258,0.1100758793231323,1.1849646965319751,-0.13183197503405641,0.98941118726265,1194.0
Pre-GFC bull (2003–2007),calm,MVO,2003-01-01,2007-09-30,0.33158418673832535,0.24514711624089572,1.3525926465008529,-0.19828740929526545,1.6722402492261654,1194.0
Pre-GFC bull (2003–2007),calm,EW,2003-01-01,2007-09-30,0.1460286924490517,0.1290169101280057,1.1318569969174395,-0.14997613041935653,0.9736795584786246,1194.0
Pre-GFC bull (2003–2007),calm,SPY-K,2003-01-01,2007-09-30,0.1275872430512599,0.12700203029071142,1.0046079008281121,-0.13855194541767157,0.9208621551046574,1194.0
Post-GFC bull (2009–2020),calm,HMVA,2009-04-01,2020-01-14,0.16355461536259552,0.1380845941976623,1.1844523012355306,-0.18410282573356174,0.8883873167666416,2716.0
Post-GFC bull (2009–2020),calm,HRP,2009-04-01,2020-01-14,0.15802012154724876,0.12418927920111912,1.272413549412281,-0.14794522608225258,1.068098820974425,2716.0
Post-GFC bull (2009–2020),calm,MVO,2009-04-01,2020-01-14,0.12541633863219537,0.2244720378474831,0.5587169780024412,-0.42775927899820476,0.2931937301884262,2716.0
Post-GFC bull (2009–2020),calm,EW,2009-04-01,2020-01-14,0.161697943033688,0.15149177367477676,1.0673711127101984,-0.19047833576037143,0.8489046399329623,2716.0
Post-GFC bull (2009–2020),calm,SPY-K,2009-04-01,2020-01-14,0.16019304644029675,0.14827642863157242,1.080367580462394,-0.19432539083778788,0.8243546854565036,2716.0
Post-COVID rebound (2020–21),calm,HMVA,2020-05-01,2021-12-31,0.28578357285104516,0.16680273857280345,1.713302642967764,-0.07855556414968068,3.637980020186856,422.0
Post-COVID rebound (2020–21),calm,HRP,2020-05-01,2021-12-31,0.3033361300683155,0.13819350292356977,2.1950100666894636,-0.08152733254719091,3.720667910884166,422.0
Post-COVID rebound (2020–21),calm,MVO,2020-05-01,2021-12-31,0.4497915306821152,0.5369026427012183,0.8377524990735057,-0.5032572734854291,0.8937606158515622,422.0
Post-COVID rebound (2020–21),calm,EW,2020-05-01,2021-12-31,0.32683250818586185,0.15134266638242955,2.159552993205399,-0.0840744372247414,3.8874183280251766,422.0
Post-COVID rebound (2020–21),calm,SPY-K,2020-05-01,2021-12-31,0.3587375951833123,0.16310837602538686,2.1993818093528006,-0.10439994560309462,3.436185652310135,422.0
