rep,estimator,minvar_true_var,frobenius,mv_relative_to_sample,mv_relative_to_lw,regime,N,T,N_T_ratio
11,NLS,0.008921669363104212,47.32197146130574,-0.3344766005595268,-0.08740928798645067,factor_sparse,100,252,2.52
11,POET,0.008586891689928128,54.971191208047784,-0.3594497716154196,-0.12165343924288108,factor_sparse,100,252,2.52
12,Sample,0.01446344532527699,116.70285518770685,0.0,0.437635326522342,factor_sparse,100,252,2.52
12,LW,0.010060580077886822,121.57385049949272,-0.3044133087498534,0.0,factor_sparse,100,252,2.52
12,NLS,0.009234960643349848,114.18758841433318,-0.36149648747865065,-0.08206479429070768,factor_sparse,100,252,2.52
12,POET,0.008714349514380982,116.45767739025003,-0.3974914469962852,-0.13381241967000068,factor_sparse,100,252,2.52
13,Sample,0.014068533401368948,89.49496912231648,0.0,0.39194729185507715,factor_sparse,100,252,2.52
13,LW,0.010107087735067554,84.64142633896664,-0.28158199247093674,0.0,factor_sparse,100,252,2.52
13,NLS,0.00920937173917837,87.28388373475627,-0.34539219715096625,-0.08882044159708521,factor_sparse,100,252,2.52
13,POET,0.00861056135930442,89.72129138354784,-0.3879560069518999,-0.14806702138052938,factor_sparse,100,252,2.52
14,Sample,0.013595116865540623,53.64713387937202,0.0,0.3158851201836798,factor_sparse,100,252,2.52
14,LW,0.010331537804487772,55.58293277279835,-0.2400552414025219,0.0,factor_sparse,100,252,2.52
14,NLS,0.00953175737304902,45.532282715947936,-0.2988837486782442,-0.07741155736674027,factor_sparse,100,252,2.52
14,POET,0.008950431528065472,53.38448777389832,-0.34164364921701984,-0.13367867422624932,factor_sparse,100,252,2.52
15,Sample,0.014737301404367483,45.97411727606409,0.0,0.5208943637683405,factor_sparse,100,252,2.52
15,LW,0.009689891523992944,40.24159192321041,-0.34249213895284186,0.0,factor_sparse,100,252,2.52
15,NLS,0.009017964455093489,45.59438869720611,-0.3880857690526053,-0.06934309504246873,factor_sparse,100,252,2.52
15,POET,0.008583898521846935,46.271036842198505,-0.41753932512345526,-0.11413884246355925,factor_sparse,100,252,2.52
16,Sample,0.011802689804837948,51.55459562393458,0.0,0.2296814257868663,factor_sparse,100,252,2.52
16,LW,0.00959816872673788,57.47830261900902,-0.18678124347523134,0.0,factor_sparse,100,252,2.52
16,NLS,0.009081033132148404,54.67966765087146,-0.23059630623978028,-0.0538785688512516,factor_sparse,100,252,2.52
16,POET,0.008595946600578521,51.28466342270578,-0.27169596568953086,-0.10441805668277554,factor_sparse,100,252,2.52
17,Sample,0.014145861315640735,93.7242870895829,0.0,0.34950948441071444,factor_sparse,100,252,2.52
17,LW,0.01048222445195912,97.24445298282411,-0.258990017075229,0.0,factor_sparse,100,252,2.52
17,NLS,0.009546621168523655,92.32198170430938,-0.3251297354394258,-0.08925617722873706,factor_sparse,100,252,2.52
17,POET,0.008983595847579767,93.52897607115092,-0.3649311521492987,-0.14296856657169363,factor_sparse,100,252,2.52
